REPORT_NUMBER,CRASH_YEAR,CRASH_DATE_AND_TIME,REPORT_DATE_AND_TIME,INVESTIGATING_AGENCY_REPORT_NUMBER,FORM_TYPE,TOTAL_NUMBER_OF_VEHICLES,TOTAL_NUMBER_OF_PERSONS,COUNTY_CODE,CITY_CODE,COUNTY_NAME,CITY_NAME,RURAL_OR_URBAN,NOTIFIED_TIME,DISPATCHED_TIME,ARRIVED_TIME,CLEARED_TIME,COMPLETED_FLAG,NOTIFIED_BY,ON_STREET_ROAD_HIGHWAY,STREET_ADDRESS_NUMBER,LATITUDE,LONGITUDE,FEET_FROM_INTERSECTION,DIRECTION_FROM_INTERSECTION,FROM_INTERSECTION_OF,MILEPOST_NUMBER,ROAD_SYSTEM_IDENTIFER,TYPE_OF_SHOULDER,TYPE_OF_INTERSECTION,PHOTOS_TAKEN,LIGHT_CONDITION,WEATHER_CONDITION,ROAD_SURFACE_CONDITION,SCHOOL_BUS_RELATED_CODE,TYPE_OF_IMPACT,FIRST_HARMFUL_EVENT,LOCATION,INTERCHANGE_FLAG,JUNCTION_FLAG,ROAD_CIRCUMSTANCES_1,ROAD_CIRCUMSTANCES_2,ROAD_CIRCUMSTANCES_3,ENVIRONMENT_CIRCUMSTANCES_1,ENVIRONMENT_CIRCUMSTANCES_2,ENVIRONMENT_CIRCUMSTANCES_3,WORK_ZONE_RELATED_FLAG,CRASH_IN_WORK_ZONE,TYPE_OF_WORK_ZONE,WORKERS_PRESENT,LAW_ENFORCEMENT_PRESENT,INVESTIGATOR_RANK,INVESTIGATING_AGENCY_NAME,INVESTIGATING_AGENCY_TYPE,LOAD_DATE,CODEABLE,S4_CRASH_TYPE,S4_CRASH_TYPE_SIMPLIFIED,S4_CRASH_SEVERITY,S4_CRASH_SEVERITY_DETAIL,S4_DAY_OR_NIGHT,S4_IS_AGGRESSIVE_DRIVING,S4_IS_ALCOHOL_RELATED,S4_IS_CMV_INVOLVED,S4_IS_DISTRACTED,S4_IS_DRUG_RELATED,S4_IS_HIT_AND_RUN,S4_IS_INTERSECTION_RELATED,S4_IS_LANE_DEPARTURE_RELATED,S4_IS_SPEEDING_RELATED,S4_NONE_INJURY_COUNT,S4_INJURY_COUNT,S4_POSSIBLE_INJURY_COUNT,S4_NON_INCAPACITATING_INJURY_COUNT,S4_INCAPACITATING_INJURY_COUNT,S4_FATALITY_COUNT,S4_FATALITY_WITHIN_30_DAYS_COUNT,S4_NON_TRAFFIC_FATALITY_COUNT,S4_TRAILER_COUNT,S4_MOTORCYCLE_COUNT,S4_MOPED_COUNT,S4_NON_MOTORIST_COUNT,S4_BICYCLIST_COUNT,S4_PEDESTRIAN_COUNT,S4_DRIVER_COUNT,S4_AGING_DRIVER_COUNT,S4_TEENAGER_DRIVER_COUNT,S4_PASSENGER_COUNT,S4_UNRESTRAINED_COUNT,S4_UNRESTRAINED_INJURY_COUNT,S4_UNRESTRAINED_INCAPACITATING_INJURY_COUNT,S4_UNRESTRAINED_FATALITY_COUNT,S4_MOTORCYCLIST_COUNT,S4_MOTORCYCLIST_INCAPACITATING_INJURY_COUNT,S4_MOTORCYCLIST_FATALITY_COUNT,S4_IS_PEDESTRIAN_INVOLVED,S4_PEDESTRIAN_INCAPACITATING_INJURY_COUNT,S4_PEDESTRIAN_FATALITY_COUNT,S4_IS_BICYCLIST_INVOLVED,S4_BICYCLIST_INCAPACITATING_INJURY_COUNT,S4_BICYCLIST_FATALITY_COUNT,S4_CITATION_COUNT,S4_CITATION_AMOUNT,S4_PROPERTY_DAMAGE_COUNT,S4_PROPERTY_DAMAGE_AMOUNT,S4_VEHICLE_DAMAGE_COUNT,S4_VEHICLE_DAMAGE_AMOUNT,S4_TOTAL_DAMAGE_AMOUNT,S4_TRANSPORT_BY_EMS_COUNT,S4_TRANSPORT_BY_LAW_ENFORCEMENT_COUNT,S4_TRANSPORT_BY_OTHER_COUNT,S4_GEOLOCATION_STATUS,S4_PRELIMINARY_GEOLOCATION_STATUS,S4_X,S4_Y,S4_LATITUDE,S4_LONGITUDE
89660359,2023,8/4/2023 21:05,7/15/2024 14:47,FHP23ON0407391,L,1,3,48,0,Clay,Unincorporated,Rural,8/4/2023 21:10,8/4/2023 21:14,8/4/2023 21:50,8/4/2023 23:15,Y,Law Enforcement,SR-100,,29.75957,-82.00034,45107295,North,HILLCREST RD,,State,Paved,Not at Intersection,Y,Dark - Not Lighted,Clear,Dry,N,Other,Pedestrian,On Roadway,N,Non-Junction,None,,,None,,,N,,,,,TPR,Florida Highway Patrol,Florida Highway Patrol (FHP),8/15/2023 14:58,Y,Pedestrian,Pedestrian,Serious Injury,Incapacitating Injury,NIGHT,N,N,N,N,N,N,N,Y,N,2,1,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,Y,1,0,N,0,0,0,0,0,0,1,800,800,1,0,0,Verified,n/a,403325.1028,3292530.497,29.75927673,-81.99992532
25665848,2023,1/18/2023 13:47,1/18/2023 0:00,2023001551,L,1,1,48,0,Clay,Unincorporated,Rural,1/18/2023 13:52,1/18/2023 13:52,1/18/2023 13:59,1/18/2023 15:06,Y,Law Enforcement,HERITAGE OAKS CT,2115-2065,30.062013,-81.718815,545,West,,,Parking Lot,Paved,Not at Intersection,N,Daylight,Clear,Dry,N,,Other Non-Fixed Object,In Parking Lane or Zone,N,Non-Junction,None,,,None,,,N,,,,,DEPUTY,Clay County Sheriff's Office,Sheriff's Office (SO),1/20/2023 14:50,Y,Single Vehicle,Other,Serious Injury,Incapacitating Injury,DAY,N,Y,N,N,N,N,N,N,N,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,N,0,0,N,0,0,0,0,1,500,1,500,1000,1,0,0,Preliminary,Editor Mapped,430720.6735,3325875.413,30.06202024,-81.71874778
25005356,2023,1/10/2023 22:23,1/10/2023 22:53,FHP23ON0017402,L,1,1,48,44,Clay,Orange Park,Rural,1/10/2023 22:28,1/10/2023 22:30,1/10/2023 22:40,1/11/2023 1:54,Y,Law Enforcement,STATE ROAD 21,,30.16635,-81.74773,905,North,SPENCER ROAD,,State,Curb,Not at Intersection,N,Dark - Lighted,Clear,Dry,N,Other,Utility Pole/Light Support,Shoulder,N,Non-Junction,None,,,None,,,N,,,,,TPR,Florida Highway Patrol,Florida Highway Patrol (FHP),1/24/2023 14:51,Y,Off Road,Off Road,Serious Injury,Incapacitating Injury,NIGHT,N,N,N,N,N,N,N,Y,N,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,N,0,0,N,0,0,0,0,1,5000,1,7500,12500,1,0,0,Preliminary,Editor Mapped,428037.1576,3337721.713,30.16876236,-81.74739071
89654619,2023,7/10/2023 7:05,7/10/2023 7:20,FHP23ON0358517,L,2,1,48,0,Clay,Unincorporated,Rural,7/10/2023 7:09,7/10/2023 7:09,7/10/2023 7:09,7/10/2023 7:46,Y,Law Enforcement,STATE ROAD 21,,30.16248941,-81.74726032,45117848,North,MEADOWBROOK DRIVE,,State,Curb,Not at Intersection,N,Daylight,Cloudy,Dry,N,Other,Other Fixed Object,Off Roadway,N,Non-Junction,None,,,None,,,N,,,,,TPR,Florida Highway Patrol,Florida Highway Patrol (FHP),7/20/2023 14:53,Y,Off Road,Off Road,Serious Injury,Incapacitating Injury,DAY,N,N,N,N,N,N,N,Y,N,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,N,0,0,N,0,0,0,0,2,700,2,9000,9700,1,0,0,Verified,n/a,428038.9627,3337022.08,30.16244925,-81.74732434
89614777,2023,8/20/2023 15:32,5/22/2024 14:06,FHP23ON0437537,L,2,2,48,0,Clay,Unincorporated,Rural,8/20/2023 15:47,8/20/2023 15:57,8/20/2023 16:12,8/20/2023 19:20,Y,Law Enforcement,CR-220,,30.10174,-81.74057,45115941,,LAKESHORE DR W,,County,Curb,Four-Way Intersection,Y,Daylight,Clear,Dry,N,Angle,Motor Vehicle in Transport,On Roadway,Y,Non-Junction,None,,,None,,,N,,,,,CPL,Florida Highway Patrol,Florida Highway Patrol (FHP),9/22/2023 19:23,Y,Left Leaving,Left Turn,Fatality,Fatal (within 30 days),DAY,N,Y,N,N,Y,N,N,Y,N,1,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,0,0,1,0,0,1,0,0,0,N,0,0,N,0,0,1,0,1,2500,2,9500,12000,0,0,1,Verified,n/a,428648.6381,3330286.914,30.10170922,-81.74053941
89716829,2023,12/11/2023 20:35,4/4/2024 8:18,FHP23ON0650380,L,1,2,48,44,Clay,Orange Park,Urban,12/11/2023 20:38,12/11/2023 20:41,12/11/2023 20:51,12/12/2023 0:09,Y,Law Enforcement,US HIGHWAY 17,,30.17933107,-81.70164104,500,North,LORING AVENUE,,U.S.,Curb,Not at Intersection,Y,Dark - Lighted,Clear,Dry,N,Other,Pedestrian,On Roadway,N,Non-Junction,None,,,None,,,N,,,,,TPR,Florida Highway Patrol,Florida Highway Patrol (FHP),12/20/2023 19:44,Y,Pedestrian,Pedestrian,Fatality,Fatal (within 30 days),NIGHT,N,N,N,N,N,N,N,N,N,1,0,0,0,0,1,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,Y,0,1,N,0,0,0,0,0,0,1,5000,5000,0,0,1,Preliminary,Computer mapped confident by address,432434.4231,3339148.867,30.18189274,-81.70181587
25058601,2023,2/16/2023 20:55,3/22/2023 0:53,FHP23ON0084928,L,2,5,48,0,Clay,Unincorporated,Rural,2/16/2023 20:57,2/16/2023 20:59,2/16/2023 21:29,2/16/2023 22:57,Y,Law Enforcement,COUNTY ROAD 214,,29.77655277,-81.99133758,0,,ALAMEDA WAY,,County,Unpaved,T-Intersection,Y,Dark - Lighted,Clear,Dry,N,Angle,Motor Vehicle in Transport,On Roadway,Y,Intersection,None,,,None,,,N,,,,,TPR,Florida Highway Patrol,Florida Highway Patrol (FHP),3/2/2023 14:50,Y,Left Entering,Left Turn,Serious Injury,Incapacitating Injury,NIGHT,N,N,N,N,N,N,Y,N,N,0,5,4,0,1,0,0,0,1,1,0,0,0,0,2,0,0,3,0,0,0,0,1,1,0,N,0,0,N,0,0,1,0,0,0,2,11500,11500,1,0,0,Preliminary,Editor Mapped,404170.4533,3294435.067,29.77652854,-81.99135203
25666114,2023,2/13/2023 21:41,2/13/2023 0:00,2023003916,L,1,1,48,0,Clay,Unincorporated,Rural,2/13/2023 21:42,2/13/2023 21:43,2/13/2023 21:48,2/13/2023 22:46,Y,Law Enforcement,RUSSELL RD,2511,30.075547,-81.789495,397,West,,,County,Unpaved,Not at Intersection,N,Dark - Not Lighted,Clear,Dry,N,,Ditch,Off Roadway,N,Non-Junction,None,,,None,,,N,,,,,DEPUTY,Clay County Sheriff's Office,Sheriff's Office (SO),3/7/2023 15:29,Y,Off Road,Off Road,Serious Injury,Incapacitating Injury,NIGHT,N,N,N,N,N,N,N,Y,N,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,N,0,0,N,0,0,0,0,0,0,1,5000,5000,1,0,0,Preliminary,Editor Mapped,423912.8077,3327406.459,30.07543084,-81.78948121
89587590,2023,3/3/2023 17:51,3/3/2023 18:21,FHP23ON0113808,L,1,1,48,0,Clay,Unincorporated,Rural,3/3/2023 17:51,3/3/2023 17:52,3/3/2023 18:01,3/3/2023 19:14,Y,Law Enforcement,US-17,,30.03196,-81.70888,1064,South,RUSSEL RD,,U.S.,Paved,Not at Intersection,N,Dusk,Clear,Dry,N,Other,Fell/Jumped From Motor Vehicle,On Roadway,N,Non-Junction,None,,,None,,,N,,,,,TPR,Florida Highway Patrol,Florida Highway Patrol (FHP),3/12/2023 14:14,Y,Single Vehicle,Other,Serious Injury,Incapacitating Injury,DAY,N,N,N,N,N,N,N,N,N,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,N,0,0,N,0,0,0,0,0,0,1,1500,1500,1,0,0,Preliminary,Editor Mapped,431736.7973,3322168.921,30.02863058,-81.70796865
88528412,2023,11/27/2023 6:00,5/15/2024 8:17,FHP23ON0622864,L,6,8,48,0,Clay,Unincorporated,Rural,11/27/2023 6:16,11/27/2023 6:18,11/27/2023 6:21,11/27/2023 13:04,Y,Law Enforcement,FIRST COAST EXPY,,30.13053113,-81.8302669,1054427622,South,TRAIL RIDGE ROAD,,Turnpike/Toll,Paved,Not at Intersection,Y,Dark - Lighted,Cloudy,Wet,N,Other,Pedestrian,On Roadway,N,Non-Junction,None,,,None,,,N,,,,,TPR,Florida Highway Patrol,Florida Highway Patrol (FHP),12/7/2023 19:23,Y,Pedestrian,Pedestrian,Fatality,Fatal (within 30 days),NIGHT,N,N,Y,N,N,N,N,N,N,7,0,0,0,0,1,1,0,0,0,0,1,0,1,6,0,0,1,0,0,0,0,0,0,0,Y,0,1,N,0,0,0,0,0,0,3,1000,1000,0,0,1,Preliminary,Editor Mapped,420059.1104,3333525.529,30.13040017,-81.82992503
25667325,2023,6/12/2023 13:35,6/12/2023 0:00,2023014867,L,1,1,48,0,Clay,Unincorporated,Rural,6/12/2023 13:38,6/12/2023 13:39,6/12/2023 13:47,6/12/2023 17:22,Y,Law Enforcement,COUNTY ROAD 219,5936,29.74842,-81.996227,479,East,GUSTAFSON RD,,County,Paved,Not at Intersection,N,Daylight,Clear,Dry,N,,Overturn/Rollover,On Roadway,N,Non-Junction,None,,,None,,,N,,,,,PSA,Clay County Sheriff's Office,Sheriff's Office (SO),6/14/2023 15:06,Y,Rollover,Rollover,Serious Injury,Incapacitating Injury,DAY,Y,N,Y,N,N,N,N,Y,Y,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,N,0,0,N,0,0,0,0,0,0,1,50000,50000,1,0,0,Preliminary,Editor Mapped,403672.664,3291323.735,29.74841454,-81.99622319
